title,year,total_sales
F.E.A.R. 2: Project Origin,2009.0,0.09
NHL 18,2017.0,0.39
Lock's Quest,2008.0,0.09
Senran Kagura: Estival Versus,2016.0,0.18
Senko no Ronde DUO,2010.0,0.03
The Crew,2014.0,0.71
Samurai Warriors Chronicles 3,2015.0,0.07
Winx Club: Rockstars,2010.0,0.02
Samurai Warriors,2004.0,0.07
Crimson Room Reverse,2008.0,0.0
Fight Club,2004.0,0.18
Arcade Shooting Gallery,2008.0,0.19
MX vs ATV Supercross Encore 2017 Track Edition,2017.0,0.06
Trivial Pursuit: Bet You Know It,2011.0,0.16
Mass Effect 2,2010.0,0.39
Pic Pic,2008.0,0.0
The Hidden,2011.0,0.08
Evangelion: Jo,2009.0,0.06
Top Gun: Hard Lock,2012.0,0.06
Batman: A Telltale Game Series,2017.0,0.12
Disciples III: Renaissance,2010.0,0.02
Pro Evolution Soccer 2008,2007.0,0.01
Madden NFL 2005,2004.0,1.72
Worldwide Soccer Manager 2009,2008.0,1.15
All-Star Slammin' D-Ball,2001.0,0.01
Let's TAP,2009.0,0.17
Momotarou Dentetsu 11,2002.0,0.46
Speed Racer: The Videogame,2008.0,0.21
Defender,2002.0,0.4
Hooked! Again: Real Motion Fishing,2009.0,0.39
Redout,2017.0,0.02
D1 Professional Drift Grand Prix Series,2006.0,0.03
FIFA Manager 08,2007.0,0.0
The Crew,2014.0,0.15
Mass Effect: Andromeda,2017.0,1.49
7 Wonders of the Ancient World,2007.0,0.13
Real Crimes: The Unicorn Killer,2011.0,0.01
Shitsuji ga Aruji o Erabu Toki,2016.0,0.03
Robotech: The Macross Saga,2002.0,0.21
Last Escort 2: Shinya no Amai Toge,2008.0,0.03
Farm Frenzy 3,2011.0,0.02
Shrek the Third,2007.0,0.3
Shrek: Forever After,2010.0,0.12
Lego Marvel Super Heroes,2013.0,1.15
SimCity 4,2003.0,0.28
Vitamin Z: Graduation,2013.0,0.01
Crash Bandicoot N. Sane Trilogy,2018.0,0.65
Ys: The Ark of Napishtim,2006.0,0.05
Glory Days 2,2007.0,0.09
Killer is Dead,2013.0,0.24
Duke Nukem Trilogy: Critical Mass,2011.0,0.04
Marvel: Ultimate Alliance,2006.0,0.4
Shin Hisui no Shizuku: Hiiro no Kakera 2,2009.0,0.01
Naruto Shippuuden: Ninja Council 4,2009.0,0.22
Cloudy With a Chance of Meatballs,2009.0,0.09
Tiger & Bunny: Hero's Day,2013.0,0.02
SOCOM: Tactical Strike,2007.0,0.36
X Rebirth,2013.0,0.08
Franklin the Turtle,2005.0,0.03
Tales of Rebirth,2008.0,0.07
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,2003.0,0.44
Le Tour de France 2017,2017.0,0.07
Tiger Woods PGA Tour 07,2006.0,0.48
Plants vs. Zombies: Garden Warfare 2,2016.0,0.05
Hot Wheels: Beat That!,2007.0,0.23
Monsters vs. Aliens,2009.0,0.26
All Star Cheer Squad 2,2009.0,0.13
Electroplankton,2005.0,0.03
Need for Speed: ProStreet,2007.0,0.04
Bubble Bobble Double Shot,2008.0,0.04
Mahjong Fight Club,2004.0,0.17
Mortal Kombat vs DC Universe,2008.0,1.99
Dynasty Warriors 4 Empires,2004.0,0.32
Unreal Tournament,2000.0,0.58
ESPN International Winter Sports 2002,2002.0,0.05
Sniper Elite III,2014.0,0.74
Overwatch,2016.0,4.54
Maitetsu: Pure Station,2018.0,0.01
CSI: Crime Scene Investigation,2004.0,0.12
Street Hoops,2002.0,0.28
Project Highrise: Architect's Edition,2018.0,0.02
BioShock,2007.0,2.83
MX World Tour Featuring Jamie Little,2005.0,0.17
Fairy Tail: Portable Guild 2,2011.0,0.08
Cake Mania: Baker's Challenge,2008.0,0.03
Strider (2014),2014.0,0.0
Pogo Island,2007.0,0.0
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,2005.0,0.01
Resident Evil Zero,2016.0,0.0
Power Poke Dash,2006.0,0.03
Rogue Warrior,2009.0,0.13
Heavy Fire: Afghanistan,2011.0,0.19
World Series of Poker,2005.0,0.47
Sugar Sugar Rune: Queen Shiken wa Dai Panic,2006.0,0.01
Mafia III,2016.0,1.11
White Knight Chronicles II,2011.0,0.63
My Baby: First Steps,2009.0,0.32
Sphinx and the Cursed Mummy,2003.0,0.12
Blood: The Last Vampire (Joukan),2000.0,0.09
Evangelion Shin Gekijoban: 3nd Impact,2011.0,0.0
Skylanders: Trap Team,2014.0,0.34
NASCAR 06: Total Team Control,2005.0,0.63
Marvel Nemesis: Rise of the Imperfects,2005.0,0.28
Area 51,2005.0,0.29
Candle: The Power of the Flame,2018.0,0.01
Jeopardy!,2010.0,0.59
Dead Rising 2,2010.0,1.37
Battalion Wars,2005.0,0.4
Suzumiya Haruhi no Tomadoi,2008.0,0.13
NHL 11,2010.0,0.59
Create,2010.0,0.27
C.O.P.: The Recruit,2009.0,0.08
The Godfather (old US sales),2006.0,0.55
Petz: Crazy Monkeyz,2008.0,0.26
Lord of Arcana,2011.0,0.34
Gyouretsu no Dekiru Houritsu Soudansho,2010.0,0.01
Togainu no Chi: True Blood,2008.0,0.03
Fire Pro Wrestling Returns,2007.0,0.09
Medabots 9: Metabee Ver. / Rokusho Ver.,2015.0,0.05
Star Trek: Bridge Commander,2002.0,0.0
Bass Pro Shops: The Strike,2009.0,0.21
SteamWorld Dig 2,2018.0,0.02
Just Dance 2018,2017.0,0.39
Jikkyou Powerful Major League,2006.0,0.22
Manga-ka Debut Monogatari: Suteki na Manga o Egakou,2017.0,0.02
Football Manager Handheld 2009,2008.0,0.48
Madagascar,2005.0,0.28
Shrek 2,2004.0,0.55
Countdown: The Game,2009.0,0.15
Armored Core V,2012.0,0.22
Prince of Persia: Revelations,2005.0,0.21
Vampire Rain,2007.0,0.21
DokiDoki Majo Shinpan!,2007.0,0.05
Winning Post 7 2010,2010.0,0.05
Flipping Death,2018.0,0.01
Steins;Gate 0,2016.0,0.07
Codename: Kids Next Door: Operation S.O.D.A.,2004.0,0.08
Dragon Age II,2011.0,0.63
JASF: Jane's Advanced Strike Fighters,2011.0,0.04
Dinotopia: The Sunstone Odyssey,2003.0,0.02
Finny the Fish & the Seven Waters,2005.0,0.05
Lego Marvel Super Heroes: Universe in Peril,2013.0,1.05
Darkstone,2001.0,0.66
My Baby: First Steps,2009.0,0.13
Finding Nemo,2003.0,2.09
Shin Hayarigami 2,2016.0,0.03
J-League Winning Eleven 10 + Europa League 06-07,2006.0,0.21
F/A-18F Super Hornet,2004.0,0.28
FIFA Soccer 08,2007.0,1.03
Pure Farming 2018,2018.0,0.04
Dragon Ball GT: Game Boy Advance Video Volume 1,2004.0,0.17
World Soccer Winning Eleven 2002,2002.0,0.13
Train Simulator 2016,2015.0,0.04
Drake & Josh: Talent Showdown,2007.0,0.03
Rugby 15,2015.0,0.1
Need for Speed: Hot Pursuit 2,2002.0,0.0
Remember Me,2013.0,0.19
Nike+ Kinect Training,2012.0,0.04
Yes! PreCure 5,2007.0,0.04
Star Wolves,2005.0,0.0
Mind Your Language: Learn English! / French! / German! / Spanish! /Japanese!,2009.0,0.02
LEGO Harry Potter: Years 5-7,2011.0,0.68
MTX Mototrax,2004.0,0.26
Vitamin X: Detective B6,2012.0,0.02
Conflict: Desert Storm II - Back to Bagdhad,2003.0,0.28
Astro Boy: Omega Factor,2004.0,0.09
Real Time Conflict: Shogun Empires,2005.0,0.07
Tennis no Oji-Sama: Aim at The Victory!,2002.0,0.14
The Incredible Hulk,2008.0,0.31
Tiny Toon Adventures: Plucky's Big Adventure,2001.0,0.27
The X-Factor,2010.0,0.33
Macross 30: Voices across the Galaxy,2013.0,0.1
