title,year,total_sales
MySims Party,2009.0,0.22
Culdcept,2003.0,0.03
Jampack Winter 2003 (RP-M),2003.0,0.46
LEGO The Lord of the Rings,2012.0,0.32
Little Busters! Converted Edition,2009.0,0.05
Night at the Museum: Battle of the Smithsonian,2009.0,0.33
Heart of Darkness,1998.0,0.32
Paw Patrol on a Roll,2018.0,0.07
Minute to win it,2011.0,0.33
Driver: Renegade,2011.0,0.09
NBA 2K Playgrounds 2,2018.0,0.06
Fate/kaleid liner Prisma Illya,2014.0,0.01
Mage Knight: Apocalypse,2006.0,0.0
Knockout Kings 2001,2000.0,0.41
Betty Boop's Double Shift,2007.0,0.03
Winning Post 7: Maximum 2007,2007.0,0.02
Major League Baseball 2K13,2013.0,0.5
Frontier Gate Boost+,2013.0,0.01
Sea Legends: Phantasmal Light,2012.0,0.0
Scene It? Bright Lights! Big Screen!,2009.0,0.13
The Urbz: Sims in the City,2004.0,0.4
Warriors: Legends of Troy,2011.0,0.19
Commandos 3: Destination Berlin,2003.0,0.02
Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,2015.0,0.04
Arcana Heart 3: Love Max!!!!!,2014.0,0.04
Jelly Belly: Ballistic Beans,2009.0,0.02
The King of Fighters '94,1994.0,0.12
Zill O'll Infinite Plus,2009.0,0.06
Taito Legends,2005.0,0.11
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3,2015.0,0.02
Aliens versus Predator: Extinction,2003.0,0.08
PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana - Kibou to Uragiri no Gakuen Seikatsu,2012.0,0.02
Diabolik Lovers: Lost Eden,2017.0,0.02
Dead Rising 2,2010.0,1.37
I Love Horses: Rider's Paradise,2010.0,0.02
Madden NFL 08,2007.0,2.37
J-League Pro Soccer Club wo Tsukurou!,1996.0,0.26
Mary Skelter: Nightmares,2017.0,0.06
Teikoku Kaleido: Kakumei no Rondo,2017.0,0.01
Advance Guardian Heroes,2004.0,0.04
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,2009.0,0.51
Scrabble,2009.0,0.09
NHL 2K8,2007.0,0.13
Sega Bass Fishing,2008.0,0.5
Missile Command,1999.0,0.45
"NewU Fitness First Mind Body, Yoga & Pilates Workout",2010.0,0.14
Zettai Meikyuu Grimm: Nanatsu no Kagi to Rakuen no Otome,2010.0,0.02
Amped: Freestyle Snowboarding,2001.0,0.82
Tony Hawk's American Sk8land,2005.0,0.24
KISS Pinball,2001.0,0.31
Loading Human,2016.0,0.08
The Italian Job,2003.0,0.03
All-Star Baseball 2002,2001.0,0.22
Transformers: The Game,2007.0,0.58
Monster Jam,2007.0,0.2
Command & Conquer Collection,2003.0,0.02
Tokimeki no Houkago,1998.0,0.06
Katekyoo Hitman Reborn Nerae!? Ring x Bongole Returns,2008.0,0.01
The Getaway: Black Monday,2005.0,1.78
The Biggest Loser: Ultimate Workout,2010.0,0.9
Kingdom Under Fire: Heroes,2005.0,0.15
Rondo of Swords (US sales),2008.0,0.16
World of Tanks,2014.0,0.03
Blood Wake,2001.0,0.57
LEGO The Incredibles,2018.0,0.53
FIFA 13,2012.0,0.38
BikkuriMan Daijiten,2007.0,0.03
Jack Keane,2008.0,0.03
Transformers: Fall of Cybertron,2012.0,0.4
D.C.F.S.: Da Capo Four Seasons,2005.0,0.04
Princess Debut,2008.0,0.1
Zoo Tycoon 2: Endangered Species,2005.0,0.0
Jampack Winter '98,1998.0,1.13
Street Cleaning Simulator,2011.0,0.01
Championship Manager 2006,2006.0,0.0
A-Train 3D: City Simulator Neo,2016.0,0.01
Green Day: Rock Band,2010.0,0.37
Jikkyou Powerful Pro Yakyuu Next,2009.0,0.08
Higurashi Daybreak Portable Mega Edition,2009.0,0.02
Despicable Me: The Game,2010.0,0.27
Steins;Gate,2015.0,0.06
EyePet,2010.0,1.01
F1 2018,2018.0,0.17
Yoshi Topsy-Turvy,2005.0,0.65
The Amazing Spider-Man 2 (2014),2014.0,0.06
My Secret World by Imagine,2008.0,0.58
The Simpsons Game,2007.0,0.89
Puyo Puyo 7,2009.0,0.03
Twisted Metal III,1998.0,1.73
Naruto: Ninja Council 3,2007.0,0.42
Zero no Tsukaima: Muma ga Tsumugu Yokaze no Nocturne,2007.0,0.02
The Sims 2: Pets,2007.0,0.47
Dead or Alive 2,2000.0,0.14
Winter Blast: 9 Snow & Ice Games,2010.0,0.02
Babar To The Rescue,2006.0,0.0
Cabela's Big Game Hunter (2008),2007.0,0.06
